5.000000e-10,1.607833e-09,4.623670e-10,5.903673e-10,2.955861e-10
3.750000e-10,1.636413e-09,4.746414e-10,5.843978e-10,2.840678e-10
2.500000e-10,1.615138e-09,7.696238e-10,5.878185e-10,2.817202e-10
1.250000e-10,1.640047e-09,4.684463e-10,6.140320e-10,3.329581e-10
6.250000e-11,1.250000e-09,4.653152e-10,5.896569e-10,3.335770e-10
3.125000e-11,6.250000e-10,4.644905e-10,6.080396e-10,3.341578e-10
1.562500e-11,3.125000e-10,3.125000e-10,3.125000e-10,2.812225e-10
7.812500e-12,1.562500e-10,1.562500e-10,1.562500e-10,1.562500e-10
6.250000e-10,1.553876e-09,4.691170e-10,6.108247e-10,3.255801e-10
8.750000e-10,1.579486e-09,5.267513e-10,5.432269e-10,2.707385e-10
1.000000e-09,1.592540e-09,7.450262e-10,4.963427e-10,3.138056e-10
1.250000e-09,1.701285e-09,6.123795e-10,4.368913e-10,4.631109e-10
1.500000e-09,1.611443e-09,6.581723e-10,4.590011e-10,6.605138e-10
