1.406925e+09,1.989617e+09,2.273971e+09,2.533849e+09,3.145795e+09,2.988490e+09,3.088879e+09,3.385493e+09,3.844621e+09,4.448812e+09
1.411055e+09,1.995459e+09,2.282018e+09,2.541116e+09,3.155047e+09,2.992489e+09,3.088999e+09,3.395087e+09,3.859040e+09,4.461864e+09
1.404913e+09,1.986780e+09,2.268938e+09,2.526499e+09,3.141287e+09,2.981901e+09,3.076007e+09,3.372743e+09,3.835053e+09,4.442440e+09
1.398592e+09,1.977852e+09,2.264529e+09,2.520389e+09,3.127137e+09,2.972478e+09,3.073228e+09,3.368756e+09,3.831165e+09,4.422419e+09
1.400675e+09,1.980797e+09,2.262024e+09,2.519894e+09,3.131826e+09,2.974545e+09,3.071015e+09,3.364754e+09,3.823218e+09,4.429061e+09
1.395600e+09,1.973595e+09,2.259505e+09,2.512684e+09,3.120421e+09,2.962033e+09,3.057719e+09,3.356648e+09,3.822481e+09,4.412941e+09
1.403598e+09,1.984907e+09,2.271420e+09,2.527443e+09,3.138286e+09,2.981658e+09,3.082146e+09,3.376611e+09,3.842098e+09,4.438204e+09
1.399404e+09,1.978974e+09,2.261447e+09,2.515638e+09,3.128947e+09,2.968767e+09,3.061698e+09,3.357493e+09,3.823239e+09,4.424988e+09
1.403854e+09,1.985290e+09,2.267417e+09,2.525535e+09,3.138989e+09,2.981809e+09,3.079009e+09,3.372151e+09,3.832528e+09,4.439150e+09
1.404796e+09,1.986625e+09,2.267847e+09,2.524337e+09,3.141002e+09,2.979614e+09,3.074646e+09,3.368324e+09,3.832612e+09,4.442042e+09
