5.000000e-10,7.930019e-10,2.985129e-10,2.971958e-10,2.016834e-10,1.759273e-10,1.750980e-10,1.856346e-10,1.834883e-10
3.750000e-10,8.016422e-10,2.728726e-10,2.234823e-10,1.656406e-10,1.756285e-10,1.545187e-10,1.328235e-10,1.331893e-10
2.500000e-10,7.943312e-10,3.490130e-10,2.487201e-10,1.445735e-10,1.635980e-10,1.333540e-10,1.087198e-10,8.869534e-11
1.250000e-10,7.882763e-10,2.644945e-10,2.364579e-10,1.399820e-10,1.730065e-10,1.376406e-10,1.014210e-10,7.570140e-11
6.250000e-11,8.041514e-10,3.428636e-10,2.399731e-10,1.403936e-10,1.766010e-10,1.462839e-10,1.046740e-10,7.943007e-11
3.125000e-11,6.250000e-10,3.433469e-10,2.346393e-10,1.539287e-10,1.747306e-10,1.472458e-10,1.044774e-10,7.596512e-11
1.562500e-11,3.125000e-10,2.652773e-10,2.363138e-10,1.538517e-10,1.738335e-10,1.463228e-10,1.016062e-10,7.975705e-11
7.812500e-12,1.562500e-10,1.562500e-10,1.562500e-10,1.405122e-10,1.562500e-10,1.362538e-10,1.025090e-10,7.663929e-11
3.906250e-12,7.812500e-11,7.812500e-11,7.812500e-11,7.812500e-11,7.812500e-11,7.812500e-11,7.812500e-11,7.617149e-11
6.250000e-10,8.069837e-10,3.601533e-10,2.446652e-10,2.566775e-10,2.499701e-10,2.438116e-10,2.388116e-10,2.202140e-10
7.500000e-10,8.035995e-10,3.848424e-10,3.497204e-10,3.116715e-10,2.772812e-10,2.871592e-10,2.461104e-10,2.867934e-10
