2.500000e-09,1.062088e-08,3.379642e-09,2.606470e-09,2.735007e-09,2.013054e-09,1.278906e-09
1.875000e-09,1.074615e-08,3.369246e-09,2.666805e-09,2.695525e-09,2.078145e-09,1.334912e-09
1.875000e-09,1.054896e-08,3.315831e-09,2.629488e-09,2.661683e-09,2.053084e-09,1.323204e-09
1.250000e-09,1.074533e-08,4.777268e-09,2.650189e-09,3.286532e-09,2.052017e-09,1.331040e-09
6.250000e-10,1.071189e-08,3.419368e-09,2.645098e-09,2.745891e-09,1.995767e-09,1.412961e-09
3.125000e-10,6.250000e-09,4.685118e-09,2.617948e-09,2.724656e-09,1.996788e-09,1.357031e-09
1.562500e-10,3.125000e-09,3.125000e-09,2.620730e-09,2.735944e-09,2.068046e-09,1.329005e-09
7.812500e-11,1.562500e-09,1.562500e-09,1.562500e-09,1.562500e-09,1.562500e-09,1.428795e-09
3.906250e-11,7.812500e-10,7.812500e-10,7.812500e-10,7.812500e-10,7.812500e-10,7.812500e-10
3.125000e-09,1.079713e-08,4.722420e-09,2.662049e-09,2.735525e-09,2.048328e-09,1.442229e-09
3.750000e-09,1.046801e-08,3.371898e-09,2.796043e-09,3.223362e-09,2.138969e-09,1.518113e-09
4.375000e-09,1.085152e-08,4.679981e-09,3.020465e-09,3.101136e-09,1.684059e-09,1.509059e-09
5.000000e-09,1.070466e-08,3.556838e-09,3.226593e-09,2.891958e-09,1.690004e-09,1.707077e-09
