7.812500e-08,8.873878e-08,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06,1.562500e-06
1.562500e-07,2.323939e-08,3.125000e-06,3.125000e-06,3.125000e-06,3.125000e-06,3.125000e-06,3.125000e-06,3.125000e-06,2.962835e-06,2.636599e-06,2.391172e-06,2.153123e-06
3.125000e-07,6.612059e-07,6.250000e-06,6.250000e-06,6.250000e-06,5.362528e-06,4.253928e-06,4.047769e-06,3.487158e-06,2.964047e-06,2.622491e-06,2.312551e-06,2.143831e-06
6.250000e-07,6.124710e-07,1.250000e-05,8.585783e-06,6.404314e-06,5.342239e-06,4.282358e-06,4.039674e-06,3.505649e-06,3.034306e-06,2.626988e-06,2.317109e-06,2.138755e-06
1.250000e-06,2.500000e-05,1.296131e-05,8.578375e-06,6.405077e-06,5.338611e-06,4.262388e-06,4.048242e-06,3.502387e-06,3.038971e-06,2.627506e-06,2.374579e-06,2.144091e-06
2.500000e-06,3.853022e-05,1.306528e-05,8.635265e-06,6.390625e-06,5.329159e-06,4.316230e-06,4.017449e-06,3.514033e-06,2.992568e-06,2.625250e-06,2.316225e-06,2.140371e-06
3.750000e-06,3.852137e-05,1.299534e-05,8.616789e-06,6.409955e-06,5.299586e-06,4.274827e-06,4.042144e-06,3.509460e-06,3.015190e-06,2.588238e-06,2.268481e-06,2.065432e-06
5.000000e-06,3.840570e-05,1.298418e-05,8.615387e-06,6.408064e-06,5.329037e-06,4.255864e-06,4.000254e-06,3.443667e-06,2.905129e-06,2.511957e-06,2.249518e-06,2.044639e-06
7.500000e-06,3.875022e-05,1.307308e-05,8.651363e-06,6.318674e-06,5.261354e-06,4.103059e-06,3.766473e-06,3.354520e-06,2.894275e-06,2.702568e-06,2.594275e-06,2.521104e-06
1.000000e-05,3.851278e-05,1.297710e-05,8.648314e-06,6.262942e-06,5.070744e-06,4.088303e-06,3.900010e-06,3.733180e-06,3.470740e-06,3.405374e-06,3.368301e-06,3.384886e-06
1.250000e-05,3.833607e-05,1.288845e-05,8.479899e-06,6.177454e-06,5.116476e-06,4.401840e-06,4.399401e-06,4.426230e-06,4.339645e-06,4.326230e-06,4.305498e-06,4.294523e-06
