1.849098e+03,2.615284e+03,3.202211e+03,3.699428e+03,3.744908e+03,4.529681e+03,4.340770e+03,4.404874e+03,4.647371e+03,5.110460e+03,5.667192e+03,6.405559e+03
1.893130e+03,2.676795e+03,3.278671e+03,3.784247e+03,3.821337e+03,4.635521e+03,4.425245e+03,4.476860e+03,4.758222e+03,5.210288e+03,5.790333e+03,6.555768e+03
1.908731e+03,2.698470e+03,3.303146e+03,3.814323e+03,3.813065e+03,4.671168e+03,4.439690e+03,4.460720e+03,4.763367e+03,5.179560e+03,5.800164e+03,6.606502e+03
1.881829e+03,2.661768e+03,3.259728e+03,3.763819e+03,3.758112e+03,4.610429e+03,4.388069e+03,4.438196e+03,4.685498e+03,5.101619e+03,5.725762e+03,6.521015e+03
1.861259e+03,2.632508e+03,3.223555e+03,3.723989e+03,3.763229e+03,4.559458e+03,4.358444e+03,4.435294e+03,4.712136e+03,5.132073e+03,5.762107e+03,6.447200e+03
1.838822e+03,2.600649e+03,3.186578e+03,3.677223e+03,3.690413e+03,4.503710e+03,4.284171e+03,4.312553e+03,4.578370e+03,5.021673e+03,5.637094e+03,6.370146e+03
1.905897e+03,2.693555e+03,3.298587e+03,3.808826e+03,3.822909e+03,4.665228e+03,4.427839e+03,4.455723e+03,4.728553e+03,5.201027e+03,5.791321e+03,6.597284e+03
1.882736e+03,2.660670e+03,3.257769e+03,3.762685e+03,3.781596e+03,4.606843e+03,4.395348e+03,4.447499e+03,4.730118e+03,5.147615e+03,5.749702e+03,6.515508e+03
1.955901e+03,2.765487e+03,3.387700e+03,3.911751e+03,3.934579e+03,4.790937e+03,4.553854e+03,4.594183e+03,4.857069e+03,5.358301e+03,5.968932e+03,6.776296e+03
1.907918e+03,2.696716e+03,3.303360e+03,3.814641e+03,3.840924e+03,4.670845e+03,4.456344e+03,4.509822e+03,4.768585e+03,5.229873e+03,5.852531e+03,6.604044e+03
