5.000000e-10,6.529040e-10,2.867080e-10,2.604153e-10,1.997810e-10,1.776834e-10,1.832931e-10,1.814882e-10,1.711468e-10,1.721712e-10,1.740248e-10
3.750000e-10,6.353979e-10,2.360311e-10,2.039090e-10,1.697382e-10,1.577016e-10,1.418601e-10,1.363723e-10,1.395918e-10,1.326040e-10,1.261284e-10
2.500000e-10,6.392577e-10,2.686226e-10,1.502321e-10,1.439638e-10,1.096222e-10,1.075247e-10,1.009393e-10,9.047583e-11,8.898802e-11,9.325633e-11
1.250000e-10,6.372516e-10,2.206652e-10,1.683846e-10,1.410796e-10,9.456730e-11,1.072625e-10,1.011893e-10,7.715263e-11,5.701843e-11,4.745743e-11
6.250000e-11,6.278643e-10,2.176743e-10,1.696193e-10,1.528205e-10,9.446060e-11,1.074240e-10,1.025948e-10,8.085690e-11,6.330808e-11,4.985683e-11
3.125000e-11,6.235793e-10,2.147063e-10,1.905721e-10,1.399195e-10,9.383102e-11,1.143158e-10,1.027152e-10,7.830964e-11,6.297119e-11,4.939494e-11
1.562500e-11,3.125000e-10,2.175013e-10,1.890180e-10,1.535819e-10,9.459855e-11,1.077038e-10,1.025178e-10,8.125553e-11,6.272195e-11,5.049784e-11
7.812500e-12,1.562500e-10,1.562500e-10,1.562500e-10,1.529649e-10,9.426662e-11,1.070670e-10,1.014564e-10,7.800667e-11,6.211791e-11,4.893114e-11
1.953125e-12,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11,3.906250e-11
6.250000e-10,6.242393e-10,3.089337e-10,3.310069e-10,2.527140e-10,2.407018e-10,2.357018e-10,2.377140e-10,2.125920e-10,2.167383e-10,2.163115e-10
7.500000e-10,6.017942e-10,3.424764e-10,2.860617e-10,3.052325e-10,2.610372e-10,2.750129e-10,2.465494e-10,2.845983e-10,2.461835e-10,2.675494e-10
