-5E-08,1.581E+01,8E+00,2E+01
-5E-08,1.581E+01,9E+00,2.1E+01
-5E-08,1.581E+01,1E+01,2.2E+01
-5E-08,1.581E+01,1.1E+01,2.2E+01
-5E-08,1.581E+01,1.2E+01,2.3E+01
-5E-08,1.581E+01,1.3E+01,2.4E+01
-5E-08,1.581E+01,1.4E+01,2.5E+01
-5E-08,1.581E+01,1.5E+01,2.6E+01
-5E-08,1.581E+01,1.6E+01,2.7E+01
-5E-08,1.581E+01,1.7E+01,2.7E+01
-5E-08,1.581E+01,1.8E+01,2.8E+01
-5E-08,1.932333E+01,1E+00,8E+00
-5E-08,1.932333E+01,2E+00,1.1E+01
-5E-08,1.932333E+01,3E+00,1.3E+01
-5E-08,1.932333E+01,4E+00,1.5E+01
-5E-08,1.932333E+01,5E+00,1.6E+01
-5E-08,1.932333E+01,6E+00,1.7E+01
-5E-08,1.932333E+01,7E+00,1.8E+01
-5E-08,1.932333E+01,8E+00,2E+01
-5E-08,1.932333E+01,9E+00,2.1E+01
-5E-08,1.932333E+01,1E+01,2.2E+01
-5E-08,1.932333E+01,1.1E+01,2.2E+01
-5E-08,1.932333E+01,1.2E+01,2.3E+01
-5E-08,1.932333E+01,1.3E+01,2.4E+01
-5E-08,1.932333E+01,1.4E+01,2.5E+01
-5E-08,1.932333E+01,1.5E+01,2.6E+01
-5E-08,1.932333E+01,1.6E+01,2.7E+01
-5E-08,1.932333E+01,1.7E+01,2.7E+01
-5E-08,1.932333E+01,1.8E+01,2.8E+01
-5E-08,1.932333E+01,1.9E+01,2.9E+01
-5E-08,1.932333E+01,2E+01,2.9E+01
-5E-08,1.932333E+01,2.1E+01,3E+01
-5E-08,1.932333E+01,2.2E+01,3.1E+01
-5E-08,2.3715E+01,1E+00,8E+00
-5E-08,2.3715E+01,2E+00,1.1E+01
-5E-08,2.3715E+01,3E+00,1.3E+01
-5E-08,2.3715E+01,4E+00,1.5E+01
-5E-08,2.3715E+01,5E+00,1.6E+01
-5E-08,2.3715E+01,6E+00,1.7E+01
-5E-08,2.3715E+01,7E+00,1.8E+01
-5E-08,2.3715E+01,8E+00,2E+01
-5E-08,2.3715E+01,9E+00,2.1E+01
-5E-08,2.3715E+01,1E+01,2.2E+01
-5E-08,2.3715E+01,1.1E+01,2.2E+01
-5E-08,2.3715E+01,1.2E+01,2.3E+01
-5E-08,2.3715E+01,1.3E+01,2.4E+01
-5E-08,2.3715E+01,1.4E+01,2.5E+01
-5E-08,2.3715E+01,1.5E+01,2.6E+01
-5E-08,2.3715E+01,1.6E+01,2.7E+01
-5E-08,2.3715E+01,1.7E+01,2.7E+01
-5E-08,2.3715E+01,1.8E+01,2.8E+01
-5E-08,2.3715E+01,1.9E+01,2.9E+01
-5E-08,2.3715E+01,2E+01,2.9E+01
-5E-08,2.3715E+01,2.1E+01,3E+01
-5E-08,2.3715E+01,2.2E+01,3.1E+01
-5E-08,2.3715E+01,2.3E+01,3.1E+01
-5E-08,2.3715E+01,2.4E+01,3.2E+01
-5E-08,2.3715E+01,2.5E+01,3.2E+01
-5E-08,2.3715E+01,2.6E+01,3.3E+01
