1.562132e+03,2.207564e+03,2.482257e+03,3.122762e+03,2.971809e+03,3.196042e+03,3.636913e+03,4.417138e+03
1.556746e+03,2.202528e+03,2.484385e+03,3.115528e+03,2.985667e+03,3.212253e+03,3.686137e+03,4.405289e+03
1.600492e+03,2.262061e+03,2.540127e+03,3.199109e+03,3.039018e+03,3.266315e+03,3.789894e+03,4.524527e+03
1.553915e+03,2.197589e+03,2.468792e+03,3.108496e+03,2.962281e+03,3.175659e+03,3.681822e+03,4.396521e+03
1.496130e+03,2.116472e+03,2.372431e+03,2.994394e+03,2.843708e+03,3.044455e+03,3.523935e+03,4.235483e+03
1.557322e+03,2.202254e+03,2.475407e+03,3.113752e+03,2.956992e+03,3.186081e+03,3.706034e+03,4.403285e+03
1.519323e+03,2.149670e+03,2.402722e+03,3.040119e+03,2.857465e+03,3.074663e+03,3.574049e+03,4.298303e+03
1.584090e+03,2.239922e+03,2.504812e+03,3.168543e+03,2.992267e+03,3.205357e+03,3.743048e+03,4.479554e+03
1.540144e+03,2.178650e+03,2.441945e+03,3.078215e+03,2.909546e+03,3.133809e+03,3.618873e+03,4.350081e+03
1.482508e+03,2.097418e+03,2.352709e+03,2.966577e+03,2.821074e+03,3.021328e+03,3.507112e+03,4.196227e+03
