5.000000e-10,1.182759e-09,6.925139e-10,3.778302e-10,2.944641e-10,2.206591e-10
3.750000e-10,1.202911e-09,6.854468e-10,3.775802e-10,3.173971e-10,1.839334e-10
2.500000e-10,1.189210e-09,6.204527e-10,5.418184e-10,3.299154e-10,2.086225e-10
1.250000e-10,1.196216e-09,6.831541e-10,5.402147e-10,3.193118e-10,1.878358e-10
6.250000e-11,1.208274e-09,6.909681e-10,3.789552e-10,3.295039e-10,1.872962e-10
1.562500e-11,3.125000e-10,3.125000e-10,3.125000e-10,3.125000e-10,1.873244e-10
7.812500e-12,1.562500e-10,1.562500e-10,1.562500e-10,1.562500e-10,1.562500e-10
7.500000e-10,1.190015e-09,6.912090e-10,4.092815e-10,4.056961e-10,2.567933e-10
8.750000e-10,1.166143e-09,6.264588e-10,4.383974e-10,2.644214e-10,2.774824e-10
1.000000e-09,1.427662e-09,6.819041e-10,4.745865e-10,3.077568e-10,4.414157e-10
